"X","Idade","Sexo","Profissao","Moradia","Conta_Poupanca","Conta_Corrente","Valor_do_Credito","Duracao","Motivo","Risco"
204,38,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1495,12,"Carro","Crédito Bom"
205,38,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",10623,30,"Carro","Crédito Bom"
206,43,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1935,12,"Móveis/Equipamentos","Crédito Bom"
207,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1424,12,"domestic appliances","Crédito Bom"
208,21,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",6568,24,"Negócios/Empreender","Crédito Bom"
209,55,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",1413,12,"Carro","Crédito Bom"
210,33,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3074,9,"radio/TV","Crédito Bom"
211,45,"Feminino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",3835,36,"radio/TV","Crédito Bom"
212,50,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",5293,27,"Negócios/Empreender","Crédito Ruim"
213,66,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1908,30,"Negócios/Empreender","Crédito Ruim"
214,51,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3342,36,"radio/TV","Crédito Bom"
215,39,"Feminino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Moderada",932,6,"Educação","Crédito Bom"
216,31,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3104,18,"Negócios/Empreender","Crédito Bom"
217,23,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",3913,36,"radio/TV","Crédito Bom"
218,24,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",3021,24,"Móveis/Equipamentos","Crédito Bom"
219,64,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1364,10,"Carro","Crédito Bom"
220,26,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",625,12,"radio/TV","Crédito Bom"
221,23,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Conta Corrente Básica",1200,12,"Educação","Crédito Bom"
222,30,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",707,12,"radio/TV","Crédito Bom"
223,32,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2978,24,"Negócios/Empreender","Crédito Bom"
224,30,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",4657,15,"Carro","Crédito Bom"
225,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2613,36,"Reparos","Crédito Bom"
226,27,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",10961,48,"radio/TV","Crédito Ruim"
227,53,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",7865,12,"Móveis/Equipamentos","Crédito Ruim"
228,22,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1478,9,"radio/TV","Crédito Ruim"
229,22,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",3149,24,"Móveis/Equipamentos","Crédito Bom"
230,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",4210,36,"radio/TV","Crédito Ruim"
231,51,"Masculino","Não qualificado e residente","Cedida","Conta de Poupança Substancial","Sem Conta Corrente",2507,9,"Carro","Crédito Bom"
232,35,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",2141,12,"radio/TV","Crédito Bom"
233,25,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",866,18,"radio/TV","Crédito Bom"
234,42,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1544,4,"radio/TV","Crédito Bom"
235,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1823,24,"radio/TV","Crédito Ruim"
236,23,"Masculino","Não qualificado e não residente","Própria","Sem Conta Poupança","Conta Corrente Moderada",14555,6,"Carro","Crédito Ruim"
237,61,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Moderada","Conta Corrente Moderada",2767,21,"Negócios/Empreender","Crédito Ruim"
238,35,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1291,12,"radio/TV","Crédito Bom"
239,39,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2522,30,"radio/TV","Crédito Bom"
240,29,"Feminino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",915,24,"Carro","Crédito Ruim"
241,51,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1595,6,"radio/TV","Crédito Bom"
242,24,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",4605,48,"Carro","Crédito Ruim"
243,27,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1185,12,"Negócios/Empreender","Crédito Bom"
244,35,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Substancial","Sem Conta Corrente",3447,12,"Educação","Crédito Bom"
245,25,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1258,24,"Negócios/Empreender","Crédito Bom"
246,52,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",717,12,"radio/TV","Crédito Bom"
247,35,"Masculino","Qualificado","Alugada","Conta de Poupança Moderada","Sem Conta Corrente",1204,6,"Carro","Crédito Bom"
248,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1925,24,"Móveis/Equipamentos","Crédito Bom"
249,22,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",433,18,"radio/TV","Crédito Ruim"
250,39,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Rica","Conta Corrente Básica",666,6,"Carro","Crédito Bom"
251,46,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",2251,12,"Móveis/Equipamentos","Crédito Bom"
252,24,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2150,30,"Carro","Crédito Ruim"
253,35,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",4151,24,"Móveis/Equipamentos","Crédito Bom"
254,24,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",2030,9,"Móveis/Equipamentos","Crédito Bom"
255,27,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Moderada",7418,60,"radio/TV","Crédito Bom"
256,35,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2684,24,"radio/TV","Crédito Bom"
257,29,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",2149,12,"radio/TV","Crédito Ruim"
258,23,"Feminino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",3812,15,"Carro","Crédito Bom"
259,57,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Sem Conta Corrente",1154,11,"radio/TV","Crédito Bom"
260,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1657,12,"Móveis/Equipamentos","Crédito Bom"
261,55,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1603,24,"radio/TV","Crédito Bom"
262,36,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",5302,18,"Carro","Crédito Bom"
263,57,"Feminino","Não qualificado e residente","Cedida","Conta de Poupança Pequena","Sem Conta Corrente",2748,12,"Educação","Crédito Bom"
264,32,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1231,10,"Carro","Crédito Bom"
265,37,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",802,15,"radio/TV","Crédito Ruim"
266,36,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",6304,36,"Negócios/Empreender","Crédito Bom"
267,38,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1533,24,"radio/TV","Crédito Bom"
268,45,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",8978,14,"Carro","Crédito Ruim"
269,25,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",999,24,"radio/TV","Crédito Bom"
270,32,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2662,18,"Carro","Crédito Bom"
271,37,"Feminino","Qualificado","Alugada","Conta de Poupança Substancial","Sem Conta Corrente",1402,12,"Móveis/Equipamentos","Crédito Bom"
272,36,"Masculino","Altamente qualificado","Cedida","Sem Conta Poupança","Conta Corrente Moderada",12169,48,"Carro","Crédito Bom"
273,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",3060,48,"radio/TV","Crédito Ruim"
274,34,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",11998,30,"Reparos","Crédito Ruim"
275,32,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2697,9,"radio/TV","Crédito Bom"
276,26,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2404,18,"radio/TV","Crédito Bom"
277,49,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Básica",1262,12,"Móveis/Equipamentos","Crédito Bom"
278,32,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",4611,6,"Móveis/Equipamentos","Crédito Ruim"
279,29,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Moderada","Sem Conta Corrente",1901,24,"radio/TV","Crédito Bom"
280,23,"Masculino","Qualificado","Alugada","Conta de Poupança Rica","Sem Conta Corrente",3368,15,"Carro","Crédito Bom"
281,50,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1574,12,"Móveis/Equipamentos","Crédito Bom"
282,49,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente de Alto Padrão",1445,18,"radio/TV","Crédito Bom"
283,63,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",1520,15,"Móveis/Equipamentos","Crédito Bom"
284,37,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",3878,24,"Carro","Crédito Bom"
285,35,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",10722,47,"Carro","Crédito Bom"
286,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",4788,48,"Carro","Crédito Bom"
287,31,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Moderada","Conta Corrente Moderada",7582,48,"Férias/Outros","Crédito Bom"
288,49,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1092,12,"radio/TV","Crédito Bom"
289,48,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1024,24,"radio/TV","Crédito Ruim"
290,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1076,12,"Negócios/Empreender","Crédito Bom"
291,28,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",9398,36,"Carro","Crédito Ruim"
292,44,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",6419,24,"Carro","Crédito Bom"
293,56,"Masculino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",4796,42,"Carro","Crédito Bom"
294,46,"Masculino","Altamente qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",7629,48,"Negócios/Empreender","Crédito Bom"
295,26,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",9960,48,"Móveis/Equipamentos","Crédito Ruim"
296,20,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Sem Conta Corrente",4675,12,"Carro","Crédito Bom"
297,45,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Sem Conta Corrente",1287,10,"Carro","Crédito Bom"
298,43,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2515,18,"Móveis/Equipamentos","Crédito Bom"
299,32,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Moderada",2745,21,"Móveis/Equipamentos","Crédito Bom"
300,54,"Feminino","Não qualificado e não residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",672,6,"Carro","Crédito Bom"
301,42,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",3804,36,"radio/TV","Crédito Ruim"
302,37,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente de Alto Padrão",1344,24,"Carro","Crédito Ruim"
303,49,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1038,10,"Carro","Crédito Bom"
304,44,"Masculino","Qualificado","Cedida","Conta de Poupança Substancial","Sem Conta Corrente",10127,48,"Carro","Crédito Ruim"
305,33,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",1543,6,"Móveis/Equipamentos","Crédito Bom"
306,24,"Feminino","Não qualificado e residente","Alugada","Sem Conta Poupança","Sem Conta Corrente",4811,30,"Carro","Crédito Bom"
307,33,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Conta Corrente Básica",727,12,"radio/TV","Crédito Ruim"
308,24,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1237,8,"Móveis/Equipamentos","Crédito Ruim"
309,22,"Masculino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",276,9,"Carro","Crédito Bom"
310,40,"Masculino","Não qualificado e não residente","Cedida","Sem Conta Poupança","Conta Corrente Moderada",5381,48,"Férias/Outros","Crédito Bom"
311,25,"Masculino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",5511,24,"Móveis/Equipamentos","Crédito Bom"
312,26,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",3749,24,"Móveis/Equipamentos","Crédito Bom"
313,25,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",685,12,"Carro","Crédito Ruim"
314,29,"Masculino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente de Alto Padrão",1494,4,"Carro","Crédito Bom"
315,31,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2746,36,"Móveis/Equipamentos","Crédito Ruim"
316,38,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",708,12,"Móveis/Equipamentos","Crédito Bom"
317,48,"Feminino","Não qualificado e residente","Própria","Sem Conta Poupança","Conta Corrente Moderada",4351,24,"Móveis/Equipamentos","Crédito Bom"
318,32,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",701,12,"Educação","Crédito Bom"
319,27,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3643,15,"Móveis/Equipamentos","Crédito Bom"
320,28,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4249,30,"Carro","Crédito Ruim"
321,32,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1938,24,"radio/TV","Crédito Ruim"
322,34,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",2910,24,"Carro","Crédito Bom"
323,28,"Masculino","Qualificado","Própria","Conta de Poupança Rica","Conta Corrente Básica",2659,18,"Móveis/Equipamentos","Crédito Bom"
324,36,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1028,18,"Carro","Crédito Bom"
325,39,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3398,8,"Carro","Crédito Bom"
326,49,"Masculino","Qualificado","Alugada","Sem Conta Poupança","Sem Conta Corrente",5801,12,"Móveis/Equipamentos","Crédito Bom"
327,34,"Feminino","Qualificado","Própria","Conta de Poupança Rica","Sem Conta Corrente",1525,24,"Carro","Crédito Bom"
328,31,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",4473,36,"radio/TV","Crédito Bom"
329,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1068,6,"radio/TV","Crédito Bom"
330,75,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",6615,24,"Carro","Crédito Bom"
331,30,"Feminino","Qualificado","Própria","Conta de Poupança Moderada","Sem Conta Corrente",1864,18,"Educação","Crédito Ruim"
332,24,"Feminino","Altamente qualificado","Própria","Conta de Poupança Moderada","Conta Corrente Moderada",7408,60,"Carro","Crédito Ruim"
333,24,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Moderada","Sem Conta Corrente",11590,48,"Carro","Crédito Ruim"
334,23,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",4110,24,"Móveis/Equipamentos","Crédito Ruim"
335,44,"Masculino","Altamente qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",3384,6,"Móveis/Equipamentos","Crédito Ruim"
336,23,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2101,13,"radio/TV","Crédito Bom"
337,24,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Conta Corrente Básica",1275,15,"domestic appliances","Crédito Ruim"
338,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",4169,24,"Móveis/Equipamentos","Crédito Bom"
339,31,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1521,10,"Móveis/Equipamentos","Crédito Bom"
340,24,"Feminino","Qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",5743,24,"Educação","Crédito Bom"
341,26,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",3599,21,"Móveis/Equipamentos","Crédito Bom"
342,25,"Masculino","Qualificado","Alugada","Conta de Poupança Substancial","Conta Corrente Moderada",3213,18,"radio/TV","Crédito Bom"
343,33,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",4439,18,"Negócios/Empreender","Crédito Bom"
344,37,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",3949,10,"Carro","Crédito Bom"
345,43,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1459,15,"radio/TV","Crédito Bom"
346,23,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",882,13,"radio/TV","Crédito Bom"
347,23,"Feminino","Não qualificado e não residente","Alugada","Conta de Poupança Substancial","Conta Corrente Moderada",3758,24,"radio/TV","Crédito Bom"
348,34,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Sem Conta Corrente",1743,6,"Negócios/Empreender","Crédito Bom"
349,32,"Masculino","Qualificado","Cedida","Conta de Poupança Rica","Conta Corrente Moderada",1136,9,"Educação","Crédito Ruim"
350,23,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",1236,9,"domestic appliances","Crédito Bom"
351,29,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",959,9,"Móveis/Equipamentos","Crédito Ruim"
352,38,"Masculino","Altamente qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3229,18,"Carro","Crédito Bom"
353,28,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",6199,12,"radio/TV","Crédito Ruim"
354,46,"Masculino","Qualificado","Cedida","Conta de Poupança Substancial","Sem Conta Corrente",727,10,"Educação","Crédito Bom"
355,23,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",1246,24,"Carro","Crédito Ruim"
356,49,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2331,12,"radio/TV","Crédito Bom"
357,26,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",4463,36,"radio/TV","Crédito Ruim"
358,28,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",776,12,"radio/TV","Crédito Bom"
359,23,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",2406,30,"Móveis/Equipamentos","Crédito Ruim"
360,61,"Masculino","Qualificado","Cedida","Sem Conta Poupança","Conta Corrente Moderada",1239,18,"Educação","Crédito Bom"
361,37,"Masculino","Altamente qualificado","Própria","Sem Conta Poupança","Conta Corrente de Alto Padrão",3399,12,"radio/TV","Crédito Bom"
362,36,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",2247,12,"Carro","Crédito Bom"
363,21,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",1766,6,"Móveis/Equipamentos","Crédito Bom"
364,25,"Masculino","Não qualificado e não residente","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2473,18,"Móveis/Equipamentos","Crédito Ruim"
365,36,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1542,12,"Negócios/Empreender","Crédito Bom"
366,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",3850,18,"Carro","Crédito Bom"
367,22,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",3650,18,"Móveis/Equipamentos","Crédito Bom"
368,42,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",3446,36,"Móveis/Equipamentos","Crédito Ruim"
369,40,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",3001,18,"Móveis/Equipamentos","Crédito Bom"
370,36,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",3079,36,"Carro","Crédito Bom"
371,33,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",6070,18,"radio/TV","Crédito Bom"
372,23,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Sem Conta Corrente",2146,10,"Móveis/Equipamentos","Crédito Bom"
373,63,"Masculino","Altamente qualificado","Cedida","Sem Conta Poupança","Sem Conta Corrente",13756,60,"Carro","Crédito Bom"
374,60,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Moderada","Conta Corrente Moderada",14782,60,"Férias/Outros","Crédito Ruim"
375,37,"Feminino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Básica",7685,48,"Negócios/Empreender","Crédito Ruim"
376,34,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2320,18,"radio/TV","Crédito Bom"
377,36,"Masculino","Qualificado","Cedida","Sem Conta Poupança","Sem Conta Corrente",846,7,"radio/TV","Crédito Bom"
378,57,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",14318,36,"Carro","Crédito Ruim"
379,52,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Sem Conta Corrente",362,6,"Carro","Crédito Bom"
380,39,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Básica",2212,20,"Móveis/Equipamentos","Crédito Bom"
381,38,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Moderada",12976,18,"Carro","Crédito Ruim"
382,25,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Sem Conta Corrente",1283,22,"Carro","Crédito Bom"
383,26,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente de Alto Padrão",1330,12,"Carro","Crédito Bom"
384,26,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Moderada","Sem Conta Corrente",4272,30,"Negócios/Empreender","Crédito Bom"
385,25,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2238,18,"radio/TV","Crédito Bom"
386,21,"Feminino","Qualificado","Alugada","Sem Conta Poupança","Sem Conta Corrente",1126,18,"radio/TV","Crédito Bom"
387,40,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",7374,18,"Móveis/Equipamentos","Crédito Bom"
388,27,"Masculino","Qualificado","Própria","Conta de Poupança Substancial","Conta Corrente Moderada",2326,15,"Negócios/Empreender","Crédito Bom"
389,27,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1449,9,"Negócios/Empreender","Crédito Bom"
390,30,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1820,18,"Carro","Crédito Bom"
391,19,"Feminino","Não qualificado e residente","Alugada","Conta de Poupança Rica","Conta Corrente Moderada",983,12,"Móveis/Equipamentos","Crédito Bom"
392,39,"Masculino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",3249,36,"Carro","Crédito Bom"
393,31,"Feminino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1957,6,"radio/TV","Crédito Bom"
394,31,"Masculino","Altamente qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",2406,9,"Móveis/Equipamentos","Crédito Bom"
395,32,"Masculino","Qualificado","Alugada","Conta de Poupança Moderada","Conta Corrente Moderada",11760,39,"Educação","Crédito Bom"
396,55,"Feminino","Altamente qualificado","Cedida","Conta de Poupança Pequena","Conta Corrente Básica",2578,12,"Móveis/Equipamentos","Crédito Bom"
397,46,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",2348,36,"Móveis/Equipamentos","Crédito Bom"
398,46,"Masculino","Qualificado","Alugada","Conta de Poupança Pequena","Conta Corrente Moderada",1223,12,"Carro","Crédito Ruim"
399,43,"Feminino","Não qualificado e residente","Própria","Conta de Poupança Rica","Sem Conta Corrente",1516,24,"radio/TV","Crédito Bom"
400,39,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",1473,18,"radio/TV","Crédito Bom"
401,28,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",1887,18,"Negócios/Empreender","Crédito Bom"
402,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Sem Conta Corrente",8648,24,"Negócios/Empreender","Crédito Ruim"
403,27,"Masculino","Não qualificado e residente","Própria","Conta de Poupança Pequena","Sem Conta Corrente",802,14,"Carro","Crédito Bom"
404,43,"Masculino","Qualificado","Própria","Sem Conta Poupança","Conta Corrente Moderada",2899,18,"Carro","Crédito Bom"
405,22,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Moderada",2039,24,"radio/TV","Crédito Ruim"
406,43,"Masculino","Qualificado","Própria","Sem Conta Poupança","Sem Conta Corrente",2197,24,"Carro","Crédito Bom"
407,27,"Masculino","Qualificado","Própria","Conta de Poupança Pequena","Conta Corrente Básica",1053,15,"radio/TV","Crédito Bom"
