"Age","Sex","Job","Housing","Saving accounts","Checking account","Credit amount","Duration","Purpose","Risk"
24,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",2030,9,"Eletroeletrônicos","Crédito Saudável"
27,"Masculino",1,"Própria","Sem recursos declarados","Médios recursos",7418,60,"radio/TV","Crédito Saudável"
35,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",2684,24,"radio/TV","Crédito Saudável"
29,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",2149,12,"radio/TV","Crédito Ruim"
23,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",3812,15,"Carro","Crédito Saudável"
57,"Feminino",1,"Própria","Médios recursos","Sem recursos declarados",1154,11,"radio/TV","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1657,12,"Eletroeletrônicos","Crédito Saudável"
55,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1603,24,"radio/TV","Crédito Saudável"
36,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",5302,18,"Carro","Crédito Saudável"
57,"Feminino",1,"Cedida","Poucos recursos","Sem recursos declarados",2748,12,"Educação","Crédito Saudável"
32,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",1231,10,"Carro","Crédito Ruim"
37,"Masculino",2,"Própria","Poucos recursos","Médios recursos",802,15,"radio/TV","Crédito Saudável"
36,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",6304,36,"Negócios/Empreender","Crédito Saudável"
38,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1533,24,"radio/TV","Crédito Ruim"
45,"Masculino",3,"Própria","Poucos recursos","Poucos recursos",8978,14,"Carro","Crédito Saudável"
25,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",999,24,"radio/TV","Crédito Saudável"
32,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2662,18,"Carro","Crédito Ruim"
37,"Feminino",2,"Alugada","Altos recursos","Sem recursos declarados",1402,12,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",3,"Cedida","Sem recursos declarados","Médios recursos",12169,48,"Carro","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Médios recursos",3060,48,"radio/TV","Crédito Ruim"
34,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",11998,30,"Reparos/Reformas","Crédito Saudável"
32,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2697,9,"radio/TV","Crédito Ruim"
26,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",2404,18,"radio/TV","Crédito Saudável"
49,"Masculino",1,"Própria","Sem recursos declarados","Poucos recursos",1262,12,"Eletroeletrônicos","Crédito Saudável"
32,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",4611,6,"Eletroeletrônicos","Crédito Ruim"
29,"Masculino",3,"Alugada","Médios recursos","Sem recursos declarados",1901,24,"radio/TV","Crédito Ruim"
23,"Masculino",2,"Alugada","Altíssimos recursos","Sem recursos declarados",3368,15,"Carro","Crédito Saudável"
50,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1574,12,"Eletroeletrônicos","Crédito Saudável"
49,"Masculino",1,"Própria","Sem recursos declarados","Altíssimos recursos",1445,18,"radio/TV","Crédito Saudável"
63,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",1520,15,"Eletroeletrônicos","Crédito Saudável"
37,"Masculino",2,"Própria","Médios recursos","Médios recursos",3878,24,"Carro","Crédito Saudável"
35,"Feminino",1,"Própria","Poucos recursos","Poucos recursos",10722,47,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",4788,48,"Carro","Crédito Saudável"
31,"Masculino",3,"Cedida","Médios recursos","Médios recursos",7582,48,"Férias/Outros","Crédito Saudável"
49,"Feminino",2,"Própria","Poucos recursos","Médios recursos",1092,12,"radio/TV","Crédito Saudável"
48,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1024,24,"radio/TV","Crédito Ruim"
26,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1076,12,"Negócios/Empreender","Crédito Saudável"
28,"Masculino",3,"Alugada","Poucos recursos","Médios recursos",9398,36,"Carro","Crédito Ruim"
44,"Feminino",3,"Cedida","Poucos recursos","Poucos recursos",6419,24,"Carro","Crédito Saudável"
56,"Masculino",2,"Cedida","Poucos recursos","Altíssimos recursos",4796,42,"Carro","Crédito Saudável"
46,"Masculino",3,"Própria","Sem recursos declarados","Sem recursos declarados",7629,48,"Negócios/Empreender","Crédito Saudável"
26,"Feminino",2,"Própria","Poucos recursos","Médios recursos",9960,48,"Eletroeletrônicos","Crédito Saudável"
20,"Feminino",2,"Alugada","Sem recursos declarados","Sem recursos declarados",4675,12,"Carro","Crédito Ruim"
45,"Masculino",1,"Própria","Sem recursos declarados","Sem recursos declarados",1287,10,"Carro","Crédito Saudável"
43,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2515,18,"Eletroeletrônicos","Crédito Saudável"
32,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",2745,21,"Eletroeletrônicos","Crédito Ruim"
54,"Feminino",0,"Própria","Poucos recursos","Sem recursos declarados",672,6,"Carro","Crédito Saudável"
42,"Feminino",2,"Própria","Poucos recursos","Médios recursos",3804,36,"radio/TV","Crédito Saudável"
37,"Masculino",1,"Própria","Sem recursos declarados","Altíssimos recursos",1344,24,"Carro","Crédito Saudável"
49,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1038,10,"Carro","Crédito Saudável"
44,"Masculino",2,"Cedida","Altos recursos","Sem recursos declarados",10127,48,"Carro","Crédito Saudável"
33,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1543,6,"Eletroeletrônicos","Crédito Saudável"
24,"Feminino",1,"Alugada","Sem recursos declarados","Sem recursos declarados",4811,30,"Carro","Crédito Saudável"
33,"Masculino",1,"Própria","Médios recursos","Poucos recursos",727,12,"radio/TV","Crédito Saudável"
24,"Feminino",2,"Própria","Poucos recursos","Médios recursos",1237,8,"Eletroeletrônicos","Crédito Saudável"
22,"Masculino",1,"Alugada","Poucos recursos","Médios recursos",276,9,"Carro","Crédito Saudável"
40,"Masculino",0,"Cedida","Sem recursos declarados","Médios recursos",5381,48,"Férias/Outros","Crédito Ruim"
25,"Masculino",2,"Própria","Médios recursos","Sem recursos declarados",5511,24,"Eletroeletrônicos","Crédito Saudável"
26,"Feminino",2,"Própria","Poucos recursos","Altíssimos recursos",3749,24,"Eletroeletrônicos","Crédito Saudável"
25,"Masculino",1,"Própria","Poucos recursos","Médios recursos",685,12,"Carro","Crédito Saudável"
29,"Masculino",1,"Própria","Sem recursos declarados","Altíssimos recursos",1494,4,"Carro","Crédito Ruim"
31,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2746,36,"Eletroeletrônicos","Crédito Saudável"
38,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",708,12,"Eletroeletrônicos","Crédito Ruim"
48,"Feminino",1,"Própria","Sem recursos declarados","Médios recursos",4351,24,"Eletroeletrônicos","Crédito Ruim"
32,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",701,12,"Educação","Crédito Ruim"
27,"Feminino",1,"Própria","Poucos recursos","Poucos recursos",3643,15,"Eletroeletrônicos","Crédito Saudável"
28,"Masculino",3,"Própria","Poucos recursos","Médios recursos",4249,30,"Carro","Crédito Ruim"
32,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1938,24,"radio/TV","Crédito Ruim"
34,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",2910,24,"Carro","Crédito Saudável"
28,"Masculino",2,"Própria","Altíssimos recursos","Poucos recursos",2659,18,"Eletroeletrônicos","Crédito Ruim"
36,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1028,18,"Carro","Crédito Saudável"
39,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",3398,8,"Carro","Crédito Saudável"
49,"Masculino",2,"Alugada","Sem recursos declarados","Sem recursos declarados",5801,12,"Eletroeletrônicos","Crédito Saudável"
34,"Feminino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1525,24,"Carro","Crédito Saudável"
31,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",4473,36,"radio/TV","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1068,6,"radio/TV","Crédito Ruim"
75,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",6615,24,"Carro","Crédito Saudável"
30,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",1864,18,"Educação","Crédito Saudável"
24,"Feminino",3,"Própria","Médios recursos","Médios recursos",7408,60,"Carro","Crédito Saudável"
24,"Feminino",1,"Alugada","Médios recursos","Sem recursos declarados",11590,48,"Carro","Crédito Saudável"
23,"Masculino",2,"Alugada","Poucos recursos","Poucos recursos",4110,24,"Eletroeletrônicos","Crédito Saudável"
44,"Masculino",3,"Alugada","Poucos recursos","Poucos recursos",3384,6,"Eletroeletrônicos","Crédito Saudável"
23,"Feminino",1,"Própria","Poucos recursos","Médios recursos",2101,13,"radio/TV","Crédito Saudável"
24,"Feminino",2,"Alugada","Sem recursos declarados","Poucos recursos",1275,15,"Utensílios domesticos","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",4169,24,"Eletroeletrônicos","Crédito Ruim"
31,"Masculino",1,"Própria","Poucos recursos","Médios recursos",1521,10,"Eletroeletrônicos","Crédito Saudável"
24,"Feminino",2,"Cedida","Poucos recursos","Médios recursos",5743,24,"Educação","Crédito Saudável"
26,"Feminino",1,"Alugada","Poucos recursos","Poucos recursos",3599,21,"Eletroeletrônicos","Crédito Saudável"
25,"Masculino",2,"Alugada","Altos recursos","Médios recursos",3213,18,"radio/TV","Crédito Saudável"
33,"Masculino",3,"Própria","Poucos recursos","Médios recursos",4439,18,"Negócios/Empreender","Crédito Saudável"
37,"Masculino",1,"Própria","Poucos recursos","Altíssimos recursos",3949,10,"Carro","Crédito Saudável"
43,"Feminino",1,"Própria","Poucos recursos","Sem recursos declarados",1459,15,"radio/TV","Crédito Saudável"
23,"Masculino",2,"Própria","Poucos recursos","Médios recursos",882,13,"radio/TV","Crédito Saudável"
23,"Feminino",0,"Alugada","Altos recursos","Médios recursos",3758,24,"radio/TV","Crédito Saudável"
34,"Masculino",1,"Própria","Médios recursos","Sem recursos declarados",1743,6,"Negócios/Empreender","Crédito Saudável"
32,"Masculino",2,"Cedida","Altíssimos recursos","Médios recursos",1136,9,"Educação","Crédito Ruim"
23,"Feminino",2,"Alugada","Poucos recursos","Sem recursos declarados",1236,9,"Utensílios domesticos","Crédito Saudável"
29,"Feminino",2,"Própria","Poucos recursos","Médios recursos",959,9,"Eletroeletrônicos","Crédito Ruim"
38,"Masculino",3,"Própria","Sem recursos declarados","Sem recursos declarados",3229,18,"Carro","Crédito Ruim"
28,"Masculino",2,"Alugada","Poucos recursos","Poucos recursos",6199,12,"radio/TV","Crédito Ruim"
46,"Masculino",2,"Cedida","Altos recursos","Sem recursos declarados",727,10,"Educação","Crédito Saudável"
23,"Masculino",1,"Própria","Poucos recursos","Médios recursos",1246,24,"Carro","Crédito Saudável"
49,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2331,12,"radio/TV","Crédito Saudável"
26,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",4463,36,"radio/TV","Crédito Saudável"
28,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",776,12,"radio/TV","Crédito Ruim"
23,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",2406,30,"Eletroeletrônicos","Crédito Saudável"
61,"Masculino",2,"Cedida","Sem recursos declarados","Médios recursos",1239,18,"Educação","Crédito Saudável"
37,"Masculino",3,"Própria","Sem recursos declarados","Altíssimos recursos",3399,12,"radio/TV","Crédito Saudável"
36,"Feminino",2,"Própria","Poucos recursos","Altíssimos recursos",2247,12,"Carro","Crédito Saudável"
21,"Masculino",2,"Alugada","Poucos recursos","Sem recursos declarados",1766,6,"Eletroeletrônicos","Crédito Ruim"
25,"Masculino",0,"Própria","Poucos recursos","Poucos recursos",2473,18,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1542,12,"Negócios/Empreender","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",3850,18,"Carro","Crédito Saudável"
22,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",3650,18,"Eletroeletrônicos","Crédito Saudável"
42,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",3446,36,"Eletroeletrônicos","Crédito Saudável"
40,"Feminino",2,"Alugada","Poucos recursos","Médios recursos",3001,18,"Eletroeletrônicos","Crédito Ruim"
36,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",3079,36,"Carro","Crédito Saudável"
33,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",6070,18,"radio/TV","Crédito Saudável"
23,"Feminino",2,"Alugada","Poucos recursos","Sem recursos declarados",2146,10,"Eletroeletrônicos","Crédito Saudável"
63,"Masculino",3,"Cedida","Sem recursos declarados","Sem recursos declarados",13756,60,"Carro","Crédito Saudável"
60,"Feminino",3,"Cedida","Médios recursos","Médios recursos",14782,60,"Férias/Outros","Crédito Saudável"
37,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",7685,48,"Negócios/Empreender","Crédito Saudável"
34,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2320,18,"radio/TV","Crédito Saudável"
36,"Masculino",2,"Cedida","Sem recursos declarados","Sem recursos declarados",846,7,"radio/TV","Crédito Saudável"
57,"Masculino",3,"Cedida","Poucos recursos","Médios recursos",14318,36,"Carro","Crédito Saudável"
52,"Feminino",1,"Própria","Médios recursos","Sem recursos declarados",362,6,"Carro","Crédito Saudável"
39,"Masculino",2,"Própria","Sem recursos declarados","Poucos recursos",2212,20,"Eletroeletrônicos","Crédito Saudável"
38,"Feminino",3,"Cedida","Poucos recursos","Médios recursos",12976,18,"Carro","Crédito Ruim"
25,"Feminino",2,"Alugada","Sem recursos declarados","Sem recursos declarados",1283,22,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",1330,12,"Carro","Crédito Saudável"
26,"Masculino",1,"Própria","Médios recursos","Sem recursos declarados",4272,30,"Negócios/Empreender","Crédito Saudável"
25,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",2238,18,"radio/TV","Crédito Saudável"
21,"Feminino",2,"Alugada","Sem recursos declarados","Sem recursos declarados",1126,18,"radio/TV","Crédito Ruim"
40,"Masculino",3,"Própria","Poucos recursos","Médios recursos",7374,18,"Eletroeletrônicos","Crédito Ruim"
27,"Masculino",2,"Própria","Altos recursos","Médios recursos",2326,15,"Negócios/Empreender","Crédito Saudável"
27,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",1449,9,"Negócios/Empreender","Crédito Saudável"
30,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",1820,18,"Carro","Crédito Saudável"
19,"Feminino",1,"Alugada","Altíssimos recursos","Médios recursos",983,12,"Eletroeletrônicos","Crédito Ruim"
39,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",3249,36,"Carro","Crédito Saudável"
31,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1957,6,"radio/TV","Crédito Saudável"
31,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",2406,9,"Eletroeletrônicos","Crédito Saudável"
32,"Masculino",2,"Alugada","Médios recursos","Médios recursos",11760,39,"Educação","Crédito Ruim"
55,"Feminino",3,"Cedida","Poucos recursos","Poucos recursos",2578,12,"Eletroeletrônicos","Crédito Saudável"
46,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2348,36,"Eletroeletrônicos","Crédito Saudável"
46,"Masculino",2,"Alugada","Poucos recursos","Médios recursos",1223,12,"Carro","Crédito Saudável"
43,"Feminino",1,"Própria","Altíssimos recursos","Sem recursos declarados",1516,24,"radio/TV","Crédito Saudável"
39,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1473,18,"radio/TV","Crédito Saudável"
28,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",1887,18,"Negócios/Empreender","Crédito Ruim"
27,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",8648,24,"Negócios/Empreender","Crédito Saudável"
27,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",802,14,"Carro","Crédito Saudável"
43,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",2899,18,"Carro","Crédito Saudável"
22,"Masculino",2,"Própria","Poucos recursos","Médios recursos",2039,24,"radio/TV","Crédito Saudável"
43,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",2197,24,"Carro","Crédito Saudável"
27,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1053,15,"radio/TV","Crédito Saudável"
26,"Masculino",3,"Própria","Altos recursos","Sem recursos declarados",3235,24,"radio/TV","Crédito Saudável"
28,"Masculino",2,"Própria","Altos recursos","Altíssimos recursos",939,12,"Carro","Crédito Ruim"
20,"Feminino",2,"Própria","Poucos recursos","Médios recursos",1967,24,"radio/TV","Crédito Ruim"
35,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",7253,33,"Carro","Crédito Saudável"
42,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",2292,12,"Negócios/Empreender","Crédito Saudável"
40,"Masculino",1,"Alugada","Altos recursos","Sem recursos declarados",1597,10,"Carro","Crédito Ruim"
35,"Feminino",2,"Própria","Sem recursos declarados","Poucos recursos",1381,24,"Carro","Crédito Saudável"
35,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",5842,36,"Carro","Crédito Saudável"
33,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",2579,12,"Carro","Crédito Saudável"
23,"Feminino",2,"Alugada","Sem recursos declarados","Poucos recursos",8471,18,"Educação","Crédito Saudável"
31,"Feminino",3,"Própria","Altos recursos","Sem recursos declarados",2782,21,"Carro","Crédito Saudável"
33,"Feminino",2,"Própria","Sem recursos declarados","Médios recursos",1042,18,"Carro","Crédito Saudável"
20,"Feminino",2,"Alugada","Altíssimos recursos","Sem recursos declarados",3186,15,"Carro","Crédito Ruim"
30,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",2028,12,"Carro","Crédito Saudável"
47,"Masculino",1,"Própria","Poucos recursos","Médios recursos",958,12,"Carro","Crédito Saudável"
34,"Masculino",3,"Própria","Médios recursos","Sem recursos declarados",1591,21,"Eletroeletrônicos","Crédito Saudável"
25,"Feminino",2,"Própria","Sem recursos declarados","Médios recursos",2762,12,"Eletroeletrônicos","Crédito Saudável"
21,"Masculino",2,"Alugada","Poucos recursos","Médios recursos",2779,18,"Carro","Crédito Ruim"
29,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2743,28,"radio/TV","Crédito Ruim"
46,"Masculino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1149,18,"radio/TV","Crédito Saudável"
20,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1313,9,"Eletroeletrônicos","Crédito Ruim"
55,"Feminino",0,"Cedida","Poucos recursos","Poucos recursos",1190,18,"Reparos/Reformas","Crédito Saudável"
74,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",3448,5,"Negócios/Empreender","Crédito Saudável"
29,"Masculino",3,"Própria","Poucos recursos","Médios recursos",11328,24,"Férias/Outros","Crédito Ruim"
36,"Masculino",3,"Cedida","Poucos recursos","Poucos recursos",1872,6,"Eletroeletrônicos","Crédito Saudável"
33,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2058,24,"Reparos/Reformas","Crédito Saudável"
25,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2136,9,"Eletroeletrônicos","Crédito Saudável"
25,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",1484,12,"radio/TV","Crédito Saudável"
23,"Masculino",1,"Alugada","Altos recursos","Sem recursos declarados",660,6,"Reparos/Reformas","Crédito Saudável"
37,"Feminino",2,"Própria","Altíssimos recursos","Sem recursos declarados",1287,24,"Carro","Crédito Saudável"
65,"Masculino",0,"Própria","Poucos recursos","Poucos recursos",3394,42,"Reparos/Reformas","Crédito Saudável"
26,"Feminino",0,"Própria","Poucos recursos","Altíssimos recursos",609,12,"Negócios/Empreender","Crédito Saudável"
39,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",1884,12,"Carro","Crédito Saudável"
30,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1620,12,"Eletroeletrônicos","Crédito Saudável"
29,"Masculino",2,"Própria","Poucos recursos","Médios recursos",2629,20,"Férias/Outros","Crédito Ruim"
41,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",719,12,"Educação","Crédito Saudável"
30,"Feminino",3,"Própria","Poucos recursos","Médios recursos",5096,48,"Eletroeletrônicos","Crédito Saudável"
41,"Feminino",1,"Alugada","Sem recursos declarados","Sem recursos declarados",1244,9,"Educação","Crédito Saudável"
34,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",1842,36,"Carro","Crédito Saudável"
35,"Masculino",2,"Própria","Poucos recursos","Médios recursos",2576,7,"radio/TV","Crédito Saudável"
55,"Feminino",3,"Própria","Sem recursos declarados","Altíssimos recursos",1424,12,"Eletroeletrônicos","Crédito Saudável"
61,"Masculino",2,"Própria","Altíssimos recursos","Médios recursos",1512,15,"Reparos/Reformas","Crédito Saudável"
30,"Masculino",3,"Própria","Sem recursos declarados","Sem recursos declarados",11054,36,"Carro","Crédito Saudável"
29,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",518,6,"radio/TV","Crédito Ruim"
34,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",2759,12,"Eletroeletrônicos","Crédito Saudável"
35,"Masculino",3,"Própria","Poucos recursos","Sem recursos declarados",2670,24,"Carro","Crédito Saudável"
31,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",4817,24,"Carro","Crédito Saudável"
29,"Feminino",3,"Própria","Poucos recursos","Sem recursos declarados",2679,24,"Carro","Crédito Ruim"
36,"Masculino",2,"Alugada","Poucos recursos","Poucos recursos",3905,11,"Carro","Crédito Saudável"
35,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",3386,12,"Carro","Crédito Saudável"
27,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",343,6,"Utensílios domesticos","Crédito Saudável"
32,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",4594,18,"radio/TV","Crédito Ruim"
37,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",3620,36,"Eletroeletrônicos","Crédito Saudável"
36,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1721,15,"Carro","Crédito Saudável"
34,"Feminino",3,"Alugada","Poucos recursos","Médios recursos",3017,12,"Eletroeletrônicos","Crédito Saudável"
38,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",754,12,"Educação","Crédito Ruim"
34,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1950,18,"Negócios/Empreender","Crédito Saudável"
63,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",2924,24,"Carro","Crédito Saudável"
29,"Feminino",1,"Alugada","Poucos recursos","Poucos recursos",1659,24,"radio/TV","Crédito Ruim"
32,"Masculino",2,"Própria","Sem recursos declarados","Sem recursos declarados",7238,48,"radio/TV","Crédito Ruim"
26,"Feminino",2,"Própria","Poucos recursos","Sem recursos declarados",2764,33,"Negócios/Empreender","Crédito Saudável"
35,"Masculino",1,"Própria","Poucos recursos","Sem recursos declarados",4679,24,"Carro","Crédito Saudável"
22,"Masculino",2,"Alugada","Médios recursos","Médios recursos",3092,24,"radio/TV","Crédito Saudável"
23,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",448,6,"Educação","Crédito Saudável"
28,"Masculino",1,"Própria","Poucos recursos","Poucos recursos",654,9,"Carro","Crédito Ruim"
36,"Masculino",3,"Própria","Sem recursos declarados","Sem recursos declarados",1238,6,"Educação","Crédito Saudável"
33,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1245,18,"radio/TV","Crédito Saudável"
26,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",3114,18,"Eletroeletrônicos","Crédito Saudável"
24,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",2569,39,"Carro","Crédito Saudável"
25,"Masculino",2,"Própria","Poucos recursos","Altíssimos recursos",5152,24,"radio/TV","Crédito Saudável"
39,"Masculino",1,"Própria","Médios recursos","Médios recursos",1037,12,"Negócios/Empreender","Crédito Saudável"
44,"Masculino",2,"Própria","Poucos recursos","Poucos recursos",1478,15,"Eletroeletrônicos","Crédito Saudável"
23,"Feminino",1,"Própria","Poucos recursos","Médios recursos",3573,12,"radio/TV","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Médios recursos",1201,24,"Carro","Crédito Saudável"
57,"Feminino",2,"Alugada","Altíssimos recursos","Poucos recursos",3622,30,"Eletroeletrônicos","Crédito Saudável"
30,"Feminino",2,"Própria","Altíssimos recursos","Sem recursos declarados",960,15,"Eletroeletrônicos","Crédito Saudável"
44,"Masculino",2,"Própria","Altos recursos","Sem recursos declarados",1163,12,"Carro","Crédito Saudável"
47,"Masculino",3,"Própria","Poucos recursos","Médios recursos",1209,6,"Carro","Crédito Saudável"
52,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",3077,12,"radio/TV","Crédito Saudável"
62,"Feminino",2,"Cedida","Poucos recursos","Sem recursos declarados",3757,24,"Carro","Crédito Ruim"
35,"Masculino",1,"Alugada","Médios recursos","Sem recursos declarados",1418,10,"Carro","Crédito Saudável"
26,"Masculino",2,"Alugada","Poucos recursos","Sem recursos declarados",3518,6,"Carro","Crédito Saudável"
26,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1934,12,"radio/TV","Crédito Saudável"
42,"Feminino",3,"Cedida","Poucos recursos","Médios recursos",8318,27,"Negócios/Empreender","Crédito Saudável"
27,"Feminino",2,"Própria","Médios recursos","Sem recursos declarados",1237,6,"radio/TV","Crédito Saudável"
38,"Masculino",2,"Própria","Sem recursos declarados","Médios recursos",368,6,"radio/TV","Crédito Ruim"
39,"Masculino",1,"Alugada","Poucos recursos","Poucos recursos",2122,12,"Carro","Crédito Saudável"
20,"Masculino",2,"Própria","Sem recursos declarados","Poucos recursos",2996,24,"Eletroeletrônicos","Crédito Ruim"
29,"Masculino",3,"Alugada","Médios recursos","Médios recursos",9034,36,"Eletroeletrônicos","Crédito Ruim"
40,"Masculino",2,"Própria","Poucos recursos","Sem recursos declarados",1585,24,"Eletroeletrônicos","Crédito Ruim"
32,"Masculino",1,"Própria","Poucos recursos","Médios recursos",1301,18,"radio/TV","Crédito Ruim"
28,"Masculino",2,"Própria","Médios recursos","Altíssimos recursos",1323,6,"Carro","Crédito Ruim"
27,"Feminino",2,"Própria","Poucos recursos","Poucos recursos",3123,24,"Carro","Crédito Saudável"
42,"Masculino",2,"Cedida","Poucos recursos","Poucos recursos",5493,36,"Carro","Crédito Saudável"
49,"Masculino",2,"Própria","Médios recursos","Altíssimos recursos",1126,9,"radio/TV","Crédito Saudável"
38,"Masculino",2,"Própria","Médios recursos","Médios recursos",1216,24,"radio/TV","Crédito Ruim"
24,"Feminino",2,"Alugada","Poucos recursos","Poucos recursos",1207,24,"Carro","Crédito Saudável"
27,"Masculino",1,"Própria","Sem recursos declarados","Sem recursos declarados",1309,10,"Carro","Crédito Saudável"
36,"Masculino",2,"Própria","Altos recursos","Altíssimos recursos",2360,15,"Carro","Crédito Saudável"
